,date,time,type,group-sku,sku,description,quantity,order city,order state,order postal,product sales,selling fees,fba fees,landing cost
99,"Sep 18, 201",9 9:51:22 PM PDT,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
100,"Sep 19, 201",9 11:59:19 AM PDT,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
101,07-Oct-19,4:33:47 AM PDT,FBA Inventory Fee,,NAN,FBA Inventory Storage Fee,,,,,0.0,-0.0,-0.0,
102,"Oct 18, 201",9 7:08:34 AM PDT,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
103,"Oct 18, 201",9 7:10:06 AM PDT,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
104,"Oct 28, 201",9 9:29:22 PM PDT,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
105,"Oct 28, 201",9 9:29:25 PM PDT,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
106,"Oct 28, 201",9 9:29:25 PM PDT,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
107,"Oct 30, 201",9 6:01:37 PM PDT,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
108,"Oct 30, 201",9 6:01:41 PM PDT,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
109,"Oct 30, 201",9 6:01:41 PM PDT,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
110,"Oct 30, 201",9 6:01:41 PM PDT,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
111,"Oct 31, 201",9 5:15:40 PM PDT,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
