,date,time,type,group-sku,sku,description,quantity,order city,order state,order postal,product sales,selling fees,fba fees,landing cost
47,"Feb 14, 201",9 3:16:22 AM PST,Adjustment,3MM-2113,3MM-2113,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,52.48
48,"Feb 15, 201",9 10:47:20 AM PST,Adjustment,3MM-1628,3MM-1628,FBA Inventory Reimbursement - General Adjustment,1.0,,,,0.0,-0.0,-0.0,7.92
49,"Feb 16, 201",9 12:51:11 AM PST,Adjustment,MOL-295300,MOL-295300,FBA Inventory Reimbursement - Damaged:Warehouse,1.0,,,,0.0,-0.0,-0.0,10.32
50,"Feb 17, 201",9 1:29:31 AM PST,Adjustment,3MM-2113,3MM-2113,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,52.48
51,"Feb 17, 201",9 5:03:11 AM PST,Adjustment,3MM-1626W(10),3MM-1626W(10),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,1.96
52,"Feb 17, 201",9 11:36:29 AM PST,Adjustment,SOT-140176,SOT-140176,FBA Inventory Reimbursement - General Adjustment,1.0,,,,0.0,-0.0,-0.0,23.41
53,"Feb 17, 201",9 11:54:33 AM PST,Adjustment,WEL-52434-U,WEL-52434-U(850),FBA Inventory Reimbursement - General Adjustment,1.0,,,,0.0,-0.0,-0.0,19.5
54,"Feb 18, 201",9 4:01:16 AM PST,Adjustment,3MM-1626W,3MM-1626W,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,9.82
55,"Feb 19, 201",9 5:40:22 AM PST,Adjustment,MDL-NON80328,MDL-NON80328,FBA Inventory Reimbursement - Damaged:Warehouse,1.0,,,,0.0,-0.0,-0.0,3.43
56,"Feb 20, 201",9 2:23:17 AM PST,Adjustment,MDL-NON80328,MDL-NON80328,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,3.43
57,"Feb 20, 201",9 4:28:09 AM PST,Adjustment,3MM-2113,3MM-2113,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,52.48
58,"Feb 20, 201",9 4:30:03 AM PST,Adjustment,3MM-2113R,3MM-2113R,FBA Inventory Reimbursement - Lost:Warehouse,1.0,,,,0.0,-0.0,-0.0,52.48
59,"Feb 22, 201",9 12:47:00 AM PST,Adjustment,3MM-2113R,3MM-2113R,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,52.48
60,"Feb 23, 201",9 3:48:47 AM PST,Adjustment,3MM-2113R,3MM-2113R,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,52.48
61,"Feb 23, 201",9 11:42:35 AM PST,Adjustment,MDL-NON80328,MDL-NON80328,FBA Inventory Reimbursement - General Adjustment,1.0,,,,0.0,-0.0,-0.0,3.43
62,"Feb 24, 201",9 4:55:14 AM PST,Adjustment,3MM-2113R,3MM-2113R,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,52.48
63,"Feb 25, 201",9 12:00:59 AM PST,Adjustment,MOL-281000,MOL-281000,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,6.67
