,date,time,type,order id,group-sku,sku,description,quantity,order city,order state,order postal,product sales,selling fees,fba fees,landing cost
68,2019-06-10,1:57:00 AM PDT,FBA Inventory Fee,,,NAN,FBA Inventory Storage Fee,,,,,0.0,-0.0,-0.0,
69,2019-06-17,3:57:31 PM PDT,FBA Inventory Fee,190604W9Q,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
70,2019-06-17,3:57:35 PM PDT,FBA Inventory Fee,190604W9Q,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
71,2019-06-17,3:57:35 PM PDT,FBA Inventory Fee,190604W9Q,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
72,2019-06-20,6:52:50 PM PDT,FBA Inventory Fee,190617SW1,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
73,2019-06-20,6:52:50 PM PDT,FBA Inventory Fee,190617SW1,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
74,2019-06-20,6:52:53 PM PDT,FBA Inventory Fee,190617SW1,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
75,2019-06-20,6:52:53 PM PDT,FBA Inventory Fee,190617SW1,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
76,2019-06-20,6:52:53 PM PDT,FBA Inventory Fee,190617SW1,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
77,2019-06-20,6:52:53 PM PDT,FBA Inventory Fee,190617SW1,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
78,2019-06-20,6:52:53 PM PDT,FBA Inventory Fee,190617SW1,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
79,2019-06-27,8:19:54 PM PDT,FBA Inventory Fee,190625M4G,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
80,2019-06-27,8:19:55 PM PDT,FBA Inventory Fee,190625M4G,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
81,2019-06-27,8:19:55 PM PDT,FBA Inventory Fee,190625M4G,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
82,2019-06-27,8:19:55 PM PDT,FBA Inventory Fee,190625M4G,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
83,2019-06-27,8:19:58 PM PDT,FBA Inventory Fee,190625M4G,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
84,2019-06-27,8:19:58 PM PDT,FBA Inventory Fee,190625M4G,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
85,2019-07-05,12:12:33 PM PDT,FBA Inventory Fee,190628U4C,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
86,2019-07-05,12:12:33 PM PDT,FBA Inventory Fee,190628U4C,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
87,2019-07-05,12:12:33 PM PDT,FBA Inventory Fee,190628U4C,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
88,2019-07-07,1:52:41 AM PDT,FBA Inventory Fee,,,NAN,FBA Inventory Storage Fee,,,,,0.0,-0.0,-0.0,
89,2019-07-22,8:06:36 PM PDT,FBA Inventory Fee,19071212RC,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
90,2019-07-22,8:06:36 PM PDT,FBA Inventory Fee,19071212RC,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
91,2019-07-22,8:06:36 PM PDT,FBA Inventory Fee,19071212RC,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
92,2019-07-22,8:06:36 PM PDT,FBA Inventory Fee,19071212RC,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
93,2019-08-01,3:04:03 PM PDT,FBA Inventory Fee,,,NAN,FBA Amazon-Partnered Carrier Shipment Fee,,,,,0.0,-0.0,-0.0,
94,2019-08-01,5:59:48 PM PDT,FBA Inventory Fee,vj7kkHb407,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
95,2019-08-01,5:59:49 PM PDT,FBA Inventory Fee,vj7kkHb407,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
96,2019-08-02,1:06:21 PM PDT,FBA Inventory Fee,190731YXT,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
