"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","product sales","shipping credits","gift wrap credits","promotional rebates","sales tax collected","selling fees","fba fees","other transaction fees","other","total"
"2018-01-08 5:50:13 PM PST","6546166651","Order","701-8758513-7985038","ETL-02578","Eltamd UV Physical SPF 41, 85-Gram","1","amazon.ca","Amazon","Welland","Ontario","L3B1E3","40.00","5.90","0","-5.90","5.20","-6.00","-6.33","-0.15","0","32.72"
"2018-01-08 6:19:01 PM PST","6546166651","Order","702-2786184-6207450","ETL-02578","Eltamd UV Physical SPF 41, 85-Gram","1","amazon.ca","Amazon","Vancouver","British Columbia","V6T1K2","40.00","5.90","0","-5.90","2.00","-6.00","-5.88","-0.06","0","30.06"
"2018-01-08 6:22:07 PM PST","6546166651","Order","701-7483577-1118601","OLA-HP3","OLAPLEX Hair Perfector No-3 Repairing Treatment, 3.3-Ounce","1","amazon.ca","Amazon","Vancouver","British Columbia","V6T 1Z4","34.10","3.93","0","-3.93","1.71","-5.12","-5.88","-0.05","0","24.76"
"2018-01-08 6:27:48 PM PST","6546166651","Order","701-3837698-4340251","OLA-HP3","OLAPLEX Hair Perfector No-3 Repairing Treatment, 3.3-Ounce","1","amazon.ca","Amazon","EDMONTON","Alberta","T5Y 3N4","34.09","6.99","0","-6.99","1.70","-5.11","-5.88","-0.05","0","24.75"
"2018-01-08 7:09:21 PM PST","6546166651","Order","702-7628137-1461019","ETL-02578","Eltamd UV Physical SPF 41, 85-Gram","1","amazon.ca","Amazon","Hamilton","Ontario","L9C 7E6","40.00","0","0","0","5.20","-6.00","-6.33","-0.15","0","32.72"
"2018-01-08 9:58:55 PM PST","6546166651","Order","701-3761508-3361003","OMR-BP742N","OMRON OMRBP742N, 5 Series Advanced-Accuracy Upper Arm Blood Pressure Monitor","1","amazon.ca","Amazon","Toronto","Ontario","M5N 1N7","78.00","0","0","0","10.14","-11.70","-6.78","-0.29","0","69.37"
"2018-01-08 9:59:29 PM PST","6546166651","Order","701-9510337-4085013","ETL-02578","Eltamd UV Physical SPF 41, 85-Gram","1","amazon.ca","Amazon","Stittsville","Ontario","K2S 2G5","40.00","0","0","0","5.20","-6.00","-6.33","-0.15","0","32.72"
"2018-01-09 1:59:49 AM PST","6546166651","Order","702-9189057-7623434","1437","Molnlycke Tubigrip Tubular Bandage Size D 10M Box #1437","1","amazon.ca","Amazon","Quebec","Quebec","G1W 3V3","41.93","7.88","0","0","2.49","-5.03","-15.68","-0.07","0","31.52"
"2018-01-09 5:51:20 AM PST","6546166651","Order","701-4435078-7746637","LUX-1516","Luxe Metal T-adapter with Shut-off Valve, 3-way Tee Connector, Chrome Finish, for Luxe Neo Bidets","1","amazon.ca","Amazon","Toronto","Ontario","M6J 2W7","14.94","3.27","0","-3.27","1.94","-2.24","-6.33","-0.06","0","8.25"
"2018-01-09 6:34:04 AM PST","6546166651","FBA Inventory Fee","","","FBA Inventory Storage Fee","","Amazon.ca","","","","","0","0","0","0","0","0","0","0","-4.24","-4.24"
