sku,Total-Quantity-Sold,Total-Cost,Return on Sales,"R.O.S > 10%: 1, else: 0"
MOL-1443-1,133,2322.67,2,0
MOL-1448,27,536.42,0.03,0
MOL-1451,97,1795.31,2.25,0
MOL-281000,766,8736.95,2.03,0
MOL-281100,5,55.81,2.91,0
MOL-281100(B),2,23.41,-0.33,0
MOL-281200-1,113,1398.62,1.49,0
MOL-281300,59,916.6,5.47,0
MOL-295200,305,3287.36,2.22,0
MOL-295300,254,3972.61,2.4,0
MOL-295400,200,4765.74,4.04,0
MOL-295600,104,4037.38,2.78,0
MOL-670900(B),3,40.03,13.66,1
OMR-HEM-90XL,5,2425.3,208.54,1
PRK-12-02(A),1001,3273.63,0.72,0
PRK-12-02(X2),365,1795.04,0.55,0
S&N-66000040,30,374.57,1.81,0
S&N-66000041,150,998.12,13.85,1
S&N-66000317,40,193.49,3.33,0
S&N-66000318,31,209.98,5.16,0
S&N-66000319,19,201.84,6.82,0
S&N-66250706,38,707.26,1.71,0
S&N-66250706(B),25,459.83,1.56,0
S&N-66800269,68,1130.73,4.15,0
S&N-66800270,60,1292.62,9.81,0
S&N-66800272,19,534.15,6.11,0
S&N-66801068,48,1571.29,2.65,0
SOT-132126,1,30.07,6.68,0
SOT-140172,1,32.26,5.47,0
SOT-140174,40,1345.95,11.32,1
SOT-140176,152,4910.43,1.54,0
SOT-154131,10,172.4,1.76,0
SOT-160172,183,2473.29,4.13,0
SOT-160214,122,3350.47,0.89,0
SOT-166130,58,3921.39,19.15,1
TOR-MS407W,75,872.16,2.15,0
TOR-MS407W(B),4971,48385.47,1.52,0
TOR-MS407W(C),104,1002.71,2.12,0
TOR-MS407W(X3),103,2780.28,6.97,0
TOR-MS408W,740,7168.22,1.69,0
VEC-2410008,3,18.54,13.72,1
WEL-01690-410,16,2545.24,74.76,1
WEL-06000-800,701,7193.98,1.43,0
WEL-06190-200,1,152.56,87.02,1
WEL-24400U,497,2960.96,1.14,0
WEL-5079135,7,102.68,68.01,1
WEL-52432-U,303,8966.92,6.23,0
WEL-52432-U(34 PACK),74,216.9,6.28,0
WEL-52432-U(X25),59,1648.87,5.58,0
WEL-52434-U(102 PACK),147,759.89,2.07,0
WEL-52434-U(850),63,1698.53,6.85,0
WEL-52434-U(A),2,8.38,1.56,0
WEL-52434-U(X25),138,3733.8,8.19,0
WEL-92821,25,6670.72,72.77,1
