ID Group,Sub-ID,landing cost
BRO-HBMC-R,BRO-HBMC-R,8.03
BRO-HDFB-R,BRO-HDFB-R,8.92
BRO-HGCS-R,BRO-HGCS-R,8.27
BRO-HIES-R,BRO-HIES-R,13.96
BRO-HNBO-R,BRO-HNBO-R,11.76
BRO-HRLC-R,BRO-HRLC-R,9.72
BRO-HSAM-R,BRO-HSAM-R,10.36
CON-125264(E),CON-125264(E),12.64
CON-125264(E),CON-125264E,12.64
CON-125265(E),CON-125265(E),12.64
CON-125265(E),CON-125265E,12.64
CON-183910,CON-183910,4.83
CON-183910(E),CON-183910E,3.45
CON-183910(E),CON-183910(E),3.45
CON-183910E(X3),CON-183910E(X3),10.35
CON-183910(X3),CON-183910(X3),14.49
CON-187660,CON-187660,7.2
CON-187660,CON-187660-1,7.2
CON-22771,CON-22771,18.85
CON-413155,CON-413155,28.04
CON-420671,CON-420671,11.75
CON-420680,CON-420680,18.46
DER-31815,DER-31815,6.29
HOL-14603,HOL-14603,13.33
HOL-14603,HOLL-14603(1),13.33
HOL-7331(E),HOL-7331(E),5.43
HOL-7805(E),HOL-7805(E),10.87
HOL-7805(E),HOL-7805E(B),10.87
HOL-7806(E),HOL-7806(E),14.29
HOL-7910(E),HOL-7910(E),5.5
HOL-7910(E),HOL-7910E(B),5.5
HOL-79520(E),HOL-79520(E),11.38
HOL-79530(E),HOL-79530(E),10.99
HOL-79540(E),HOL-79540(E),10.99
HOL-14104,HOLL-14104,12.77
KEL-GEL15GM,KEL-GEL15GM,16.26
KEL-GEL60GM,KEL-GEL60GM,51.22
MCR-1577,MCR-1577,26.3
MDL-MSC092625H,MDL-MSC092625H,2.78
MDL-MSC092915H(X3),MDL-MSC092915H(X3),4.26
MDL-MSC094308,MDL-MSC094308,4.08
MDL-MSC094424(X3),MDL-MSC094424(X3),9.54
MDL-MSC094424(X3),MDL-MSC094424 (3),9.54
MDL-MSC094514(X12),MDL-MSC094514(X12),38.4
MDL-MSC094544,MDL-MSC094544,3.59
MDL-MSC094544,MDL-MSC094544(B),3.59
MDL-MSC094604,MDL-MSC094604,5.1
MDL-MSC094853UNSC,MDL-MSC094853UNSC,3.49
MDL-NON80328,MDL-NON80328,3.43
MOL-1434,MOL-1434,7.69
MOL-1434,MOL-1434(B),7.69
MOL-1437,MOL-1437,7
MOL-1437,MOL-1437-1,7
MOL-1437,MOL-1437(A),7
MOL-1438,MOL-1438,9.23
MOL-1438,1438,9.23
MOL-1438,MOL-1438(B),9.23
MOL-1439,MOL-1439,12.05
MOL-1443,MOL-1443,9.7
MOL-1443,MOL-1443-1,9.7
MOL-1448,MOL-1448,12.05
MOL-1451,MOL-1451,10.89
MOL-281000,MOL-281000,6.67
MOL-281100,MOL-281100,7.15
MOL-281100,MOL-281100(B),7.15
MOL-281200,MOL-281200,7.15
MOL-281200,MOL-281200-1,7.15
MOL-281300,MOL-281300,8.93
MOL-295200,MOL-295200,7.14
MOL-295300,MOL-295300,10.32
MOL-295400,MOL-295400,16.37
MOL-295600,MOL-295600,29.06
MOL-670900,MOL-670900,6.01
MOL-670900,MOL-670900(B),6.01
OMR-HEM907XL,OMR-HEM907XL,375
OMR-HEM907XL,OMR-HEM-90XL,375
PRK-12-02,PRK-12-02,1.06
PRK-12-02,PRK-12-02(A),1.06
PRK-12-02(X2),PRK-12-02(X2),2.12
S&N-66000040,S&N-66000040,8.03
S&N-66000317,S&N-66000317,2.46
S&N-66000318,S&N-66000318,3.2
S&N-66250707(E),S&N-66250706,12.99
S&N-66250707(E),S&N-66250706(B),12.99
SOT-132126,SOT-132126,21.37
SOT-140172,SOT-140172,23.41
SOT-140174,SOT-140174,23.41
SOT-140176,SOT-140176,23.41
SOT-154131,SOT-154131,11.2
SOT-160172,SOT-160172,7.68
SOT-160214,SOT-160214,19.85
SOT-166130,SOT-166130,50.89
TOR-MS407W,TOR-MS407W,5.62
TOR-MS407W,TOR-MS407W(B),5.62
TOR-MS407W,TOR-MS407W(C),5.62
TOR-MS407W(X3),TOR-MS407W(X3),16.86
TOR-MS408W,TOR-MS408W,5.62
VEC-2410008,VEC-2410008,
WEL-01690-410,WEL-01690-410,118.34
