,sku,Total-Quantity-Sold,Total-Product-Revenue,Total-Selling-Fee,Total-Fba-Fees,Total-Landing-Costs,Total-Product-Profit,Return on Sales,Profit Per Quantity Sold
37,3MM-2863(2),249.0,2589.600000000008,310.51,852.6300000000026,1175.280000000004,251.18000000000166,1.008755020080328,1.008755020080328
38,3MM-2864(3),5.0,87.81,13.169999999999998,15.95,44.400000000000006,14.289999999999992,2.8579999999999983,2.8579999999999983
39,3MM-2866,60.0,621.23,93.15,165.33999999999995,240.59999999999994,122.1400000000001,2.0356666666666685,2.0356666666666685
40,3MM-2866(1),12.0,149.64000000000001,22.440000000000005,18.600000000000005,48.11999999999998,60.48000000000002,5.040000000000002,5.040000000000002
41,3MM-3346E,180.0,2067.340000000001,309.4900000000006,744.9400000000007,860.399999999997,152.51000000000295,0.8472777777777941,0.8472777777777941
42,3MM-3346E(X3),140.0,3807.1599999999953,571.0799999999998,560.1100000000005,2007.599999999997,668.3699999999981,4.774071428571415,4.774071428571415
43,3MM-6151,30.0,4915.08,589.8100000000001,154.72999999999996,3495.6,674.9400000000005,22.498000000000015,22.498000000000015
44,3MM-6152,90.0,14261.290000000005,1711.3299999999983,451.5099999999994,10526.399999999985,1572.050000000021,17.467222222222457,17.467222222222457
45,3MM-6155,59.0,9151.759999999998,1098.2300000000007,312.7299999999998,6874.68000000001,866.1199999999881,14.679999999999797,14.679999999999797
46,3MM-6156,28.0,4575.329999999998,549.0099999999999,144.63000000000005,3262.56,619.1299999999983,22.111785714285652,22.111785714285652
47,3MM-6158,60.0,9094.81,1091.42,204.20000000000005,6991.200000000011,807.9899999999889,13.466499999999815,13.466499999999815
48,3MM-6165,92.0,16728.61999999999,2007.4899999999996,468.7199999999995,10760.319999999983,3492.0900000000092,37.9575000000001,37.9575000000001
49,3MM-6166,98.0,16437.029999999988,1972.5300000000009,482.67999999999944,11462.079999999978,2519.740000000009,25.711632653061315,25.711632653061315
50,3MM-6168,30.0,4909.38,589.1400000000001,142.8,3495.6,681.8400000000001,22.728000000000005,22.728000000000005
51,3MM-AC-036,1000.0,5783.840000000036,463.04999999999916,1803.450000000021,2309.999999999963,1207.340000000052,1.207340000000052,1.207340000000052
52,3MM-AC-036(X2),100.0,915.8400000000021,73.51999999999998,194.94999999999993,462.00000000000034,185.37000000000182,1.8537000000000183,1.8537000000000183
53,3MM-B1550,4.0,119.96,14.4,12.76,36.4,56.39999999999999,14.099999999999998,14.099999999999998
54,3MM-B1551,8.0,264.9,39.739999999999995,29.51,72.8,122.84999999999997,15.356249999999996,15.356249999999996
55,3MM-B1557,4.0,212.95000000000002,31.93,12.76,67.56,100.70000000000002,25.175000000000004,25.175000000000004
56,3MM-H1546,108.0,578.3800000000003,46.340000000000074,208.40000000000038,195.48000000000016,128.15999999999974,1.1866666666666643,1.1866666666666643
57,3MM-H1547,119.0,597.7000000000003,47.67999999999999,194.82000000000014,215.3900000000002,139.80999999999995,1.1748739495798315,1.1748739495798315
58,3MM-H1624,490.0,2644.4999999999955,212.17999999999958,777.4400000000011,901.600000000001,753.2799999999938,1.537306122448967,1.537306122448967
59,3MM-H1626,459.0,2784.209999999997,237.31,706.890000000001,1156.6799999999967,683.3299999999995,1.4887363834422647,1.4887363834422647
