date,order id,item,country,order city,order state,quantity,revenue,total cost,profit
02-01-2019,113-3266977-5789057,3MM-2862(3),,Atlanta,GA,2,21.58,22.04,-0.46
02-01-2019,111-8575673-6966668,3MM-1626W(10),,Castle Dale,UT,1,6.5,5.37,1.13
02-01-2019,114-8851658-4453000,CON-187660,,MIAMI,FL,1,13.09,15.97,-2.88
02-01-2019,112-0067158-9143407,SOT-166130,,SOMERS,CT,1,78.15,65.8,12.35
02-01-2019,112-1610305-9082612,3MM-2113,,PORTER,TX,1,80,65.27,14.73
02-01-2019,112-6246143-4261843,3MM-B1557,,WEST DES MOINES,IA,1,79.48,32,47.48
02-01-2019,112-8189729-0165005,WEL-52432-U,,Garland,TX,6,201,175.44,25.56
02-01-2019,112-2093010-3447409,3MM-2862(3),,Fishers,IN,1,10.79,11.02,-0.23
02-01-2019,111-9367500-0923461,3MM-2862(3),,OWATONNA,MN,1,10.79,11.02,-0.23
02-01-2019,114-7750654-4092231,3MM-1626W(10),,Sallisaw,OK,1,6.5,5.37,1.13
02-01-2019,114-7136541-3249811,MOL-1434,,Dousman,WI,1,27.98,15.08,12.9
02-01-2019,111-1936968-4462611,3MM-2863(2),,JACKSONVILLE,TX,1,10.4,9.16,1.24
02-01-2019,111-7037386-1815422,MDL-NON80328,,COLLEYVILLE,TX,1,7.7,7.62,0.08
02-01-2019,112-6323700-4895443,MOL-1434,,GERMANTOWN,WI,1,27.98,19.25,8.73
02-01-2019,111-9739670-4529053,SOT-160214,,LAFAYETTE,CA,1,29.09,27.4,1.69
02-01-2019,114-1969466-4072252,3MM-2862(2),,FRANKLIN,TN,1,9.78,8.72,1.06
02-01-2019,112-0878266-9297054,3MM-1527-2,,HOLLAND,NY,2,25.3,21.82,3.48
02-01-2019,114-1786162-6528268,3MM-2862(3),,GALT,CA,1,10.79,11.02,-0.23
02-01-2019,113-6930650-9917801,3MM-R1546(50),,Houston,TX,1,26.65,20.47,6.18
02-01-2019,111-7581988-3481038,3MM-1527-2,,CHICAGO,IL,1,12.69,10.91,1.78
02-01-2019,113-6133150-6809807,3MM-1527-2,,SPARKS,NV,1,12.65,10.91,1.74
02-01-2019,112-6362359-7070640,3MM-2862(3),,Mn City,MN,5,53.95,61.55,-7.6
02-01-2019,112-6362359-7070640,3MM-2862(3),,Mn City,MN,5,53.95,48.65,5.3
02-01-2019,113-8461993-6913846,3MM-1527-2,,Ferndale,MI,1,12.69,10.91,1.78
