,sku,Total-Quantity-Sold,Total-Product-Revenue,Total-Selling-Fee,Total-Fba-Fees,Total-Landing-Costs,Total-Cost,Total-Product-Profit,Return on Sales,Total Return= ROS - Operating Cost (10%),Profit Per Quantity Sold,"1: R.O.S>=15%, 0: else"
90,CON-183910E(X3),60,1641.27,246.18,211.61,621.0,1078.79,562.48,9.374666667,-0.6253333329999999,9.374666667,0
91,CON-187660,31,400.47,60.2,102.51,223.2,385.91,14.56,0.469677419,-9.530322581,0.469677419,0
92,CON-187660-1,29,365.14,54.82,82.49,208.8,346.11,19.03,0.656206897,-9.343793103,0.656206897,0
93,CON-22771,400,14248.54,1709.8,1559.33,7540.0,10809.13,3439.41,8.598525,-1.401475,8.598525,0
94,CON-413155,1,70.83,10.62,3.28,28.04,41.94,28.89,28.89,18.89,28.89,1
95,CON-420671,60,1654.64,248.2,195.39,705.0,1148.59,506.05,8.434166667000001,-1.565833333,8.434166667000001,0
96,CON-420680,1,49.98,7.5,3.28,18.46,29.24,20.74,20.74,10.74,20.74,1
97,DER-31815,506,5475.4,657.35,974.33,3182.74,4814.42,660.98,1.306284585,-8.693715415,1.306284585,0
98,HOL-7331(E),13,167.96,25.22,61.88,70.59,157.69,10.27,0.79,-9.21,0.79,0
99,HOL-7805(E),64,1751.2,262.62,222.81,695.68,1181.11,570.09,8.90765625,-1.09234375,8.90765625,0
100,HOL-7805E(B),139,3025.1,453.87,498.12,1510.93,2462.92,562.18,4.044460432,-5.955539568,4.044460432,0
101,HOL-7806(E),10,242.98,36.44,47.6,142.9,226.94,16.04,1.604,-8.396,1.604,0
102,HOL-7910(E),60,891.5,133.81,130.2,330.0,594.01,297.49,4.9581666669999995,-5.0418333330000005,4.9581666669999995,0
103,HOL-7910E(B),60,866.7,130.11,131.97,330.0,592.08,274.62,4.577,-5.422999999999999,4.577,0
104,HOL-79520(E),18,516.72,77.52,73.38,204.84,355.74,160.98,8.943333333,-1.056666667,8.943333333,0
105,HOL-79530(E),10,373.0,44.76,31.9,109.9,186.56,186.44,18.644000000000002,8.644,18.644000000000002,1
106,HOL-79540(E),10,378.48,45.42,31.9,109.9,187.22,191.26,19.125999999999998,9.126,19.125999999999998,1
107,HOLL-14104,2,47.0,7.06,14.36,25.54,46.96,0.04,0.02,-9.98,0.02,0
108,HOLL-14603(1),2,51.98,7.8,6.38,26.66,40.84,11.14,5.57,-4.43,5.57,0
109,KEL-GEL15GM,404,8536.18,1279.97,1328.63,6569.04,9177.64,-641.46,-1.5877722769999998,-11.58777228,-1.5877722769999998,0
110,KEL-GEL60GM,126,10355.42,1553.43,506.29,6453.72,8513.44,1841.98,14.61888889,4.618888889,14.61888889,0
111,MCR-1577,52,2333.76,443.56,181.46,1367.6,1992.62,341.14,6.560384615,-3.439615385,6.560384615,0
112,MDL-MSC092534(X3),81,1599.12,191.82,404.66,821.34,1417.82,181.3,2.238271605,-7.761728395,2.238271605,0
