date,type,order id,sku,quantity,product sales
02-Jan-19,Order,113-0777983-9802616,3MM-2862(3),5,54
02-Jan-19,Order,112-7884468-6473832,MOL-281200-1,3,44.37
02-Jan-19,Order,112-6438010-0905857,3MM-1626W,1,17.95
02-Jan-19,Order,113-3266977-5789057,3MM-2862(3),2,21.58
02-Jan-19,Order,111-8575673-6966668,3MM-1626W(10),1,6.5
02-Jan-19,Order,114-8851658-4453000,CON-187660,1,13.09
02-Jan-19,Order,112-0067158-9143407,SOT-166130,1,78.15
02-Jan-19,Order,112-1610305-9082612,3M-2113,1,80
02-Jan-19,Order,112-6246143-4261843,3MM-B1557,1,79.48
02-Jan-19,Order,112-8189729-0165005,WEL-52432-U,6,201
02-Jan-19,Order,112-2093010-3447409,3MM-2862(3),1,10.79
02-Jan-19,Order,111-9367500-0923461,3MM-2862(3),1,10.79
02-Jan-19,Order,114-7750654-4092231,3MM-1626W(10),1,6.5
02-Jan-19,Order,114-7136541-3249811,MOL-1434,1,27.98
02-Jan-19,Order,111-1936968-4462611,3M-2863(2),1,10.4
02-Jan-19,Order,111-7037386-1815422,MDL-NON80328,1,7.7
02-Jan-19,Order,112-6323700-4895443,MOL-1434,1,27.98
02-Jan-19,Order,111-9739670-4529053,SOT-160214,1,29.09
02-Jan-19,Order,114-1969466-4072252,3MM-2862(2),1,9.78
02-Jan-19,Order,112-0878266-9297054,3MM-1527-2,2,25.3
02-Jan-19,Order,114-1786162-6528268,3MM-2862(3),1,10.79
02-Jan-19,Order,113-6930650-9917801,3MM-R1546(50),1,26.65
02-Jan-19,Order,111-7581988-3481038,3MM-1527-2,1,12.69
02-Jan-19,Order,113-6133150-6809807,3MM-1527-2,1,12.65
02-Jan-19,Order,112-6362359-7070640,3MM-2862(3),5,53.95
02-Jan-19,Order,112-6362359-7070640,3MM-2862(3),5,53.95
02-Jan-19,Order,113-8461993-6913846,3MM-1527-2,1,12.69
02-Jan-19,Order,113-2514442-9108265,3MM-1626W,1,17.95
02-Jan-19,Order,114-3943556-0355450,3MM-1527-2,1,12.79
02-Jan-19,Order,113-6083800-5799426,3M-1539,1,16.84
02-Jan-19,Order,113-4980534-1353830,3M-1539,1,16.84
02-Jan-19,Order,114-0767248-9096268,MDL-NON80328,1,8.03
02-Jan-19,Order,114-0767248-9096268,MDL-NON80328,1,8.03
02-Jan-19,Order,113-6728088-4898646,3M-2863(2),2,20.8
02-Jan-19,Order,111-1003785-9217840,3MM-1626W(10),1,6.5
02-Jan-19,Order,114-4734951-9492237,3MM-2862(3),1,10.8
02-Jan-19,Order,111-1503968-9072212,SOT-166130,1,78.15
02-Jan-19,Order,111-4396642-1212208,3MM-1626W(10),1,6.5
02-Jan-19,Order,113-2477626-6005866,MOL-281000,2,29.36
02-Jan-19,Order,114-8590603-9930624,MCR-1577,1,44.88
02-Jan-19,Order,111-8145859-2585053,SOT-154131,1,19
02-Jan-19,Order,114-4581570-1510639,3MM-1626W(10),3,19.5
02-Jan-19,Order,112-0994147-3757853,3MM-1626W(Double Pack-2),1,36.5
02-Jan-19,Order,113-8421708-9684266,MDL-NON80328,1,9.99
02-Jan-19,Order,114-8672682-2899435,3M-1539,1,16.84
02-Jan-19,Order,112-0077897-7728266,3MM-1626W-25 Pack,1,10.35
02-Jan-19,Order,112-0053288-9770612,MOL-1434,1,27.98
02-Jan-19,Order,111-9534385-2737058,3MM-1527-2,1,12.65
02-Jan-19,Order,113-4195178-2066637,3MM-2862(3),1,10.79
02-Jan-19,Order,113-4550431-8475414,3MM-1626W(10),1,6.5
02-Jan-19,Order,113-3633575-8262653,3M-2863(2),2,20.8
02-Jan-19,Order,114-0331941-3967463,MDL-NON80328,1,7.7
02-Jan-19,Order,114-3515718-4005027,MOL-281000,1,14.69
02-Jan-19,Order,113-8714242-7071413,3MM-1626W,4,71.8
02-Jan-19,Order,113-8678929-4113840,3MM-R1547(50 Pack),4,108.12
02-Jan-19,Order,113-4235400-0686620,3MM-1626W(10),1,6.5
02-Jan-19,Order,111-0787815-8787440,3MM-2862(3),1,10.79
02-Jan-19,Order,113-4833788-0537811,MCR-1577,1,44.88
02-Jan-19,Order,111-1589276-3982621,3MM-2862(2),1,9.71
02-Jan-19,Order,112-8516657-0534631,3M-1539,1,16.84
02-Jan-19,Order,113-1573715-0362653,3M-2113,1,80
02-Jan-19,Order,111-1677589-3549819,MOL-281200-1,1,14.79
02-Jan-19,Order,112-8223205-9138613,3MM-2862(3),1,10.79
02-Jan-19,Order,114-1641058-9767430,MDL-NON80328,1,7.7
02-Jan-19,Order,111-8965785-9677026,MCR-1577,1,44.88
02-Jan-19,Order,112-9412163-8205830,3MM-2862(3),1,10.79
02-Jan-19,Order,114-1475207-8897817,3MM-2862(3),1,10.79
02-Jan-19,Order,113-2895657-3856217,MCR-1577,1,44.88
02-Jan-19,Order,112-9682593-4831467,MCR-1577,1,44.88
02-Jan-19,Order,112-1162423-0606631,MDL-NON80328,1,7.7
02-Jan-19,Order,111-7099617-9360232,MCR-1577,1,44.88
02-Jan-19,Order,114-0170056-1633835,3MM-1626W-25 Pack,1,10.35
02-Jan-19,Order,113-4142581-1691427,3MM-2862(2),1,9.77
02-Jan-19,Order,114-3606988-6729042,3M-2113R,1,74.99
02-Jan-19,Order,113-8802571-7369024,MOL-281000,1,14.68
02-Jan-19,Order,111-3209549-0526640,3M-2863(2),2,20.8
02-Jan-19,Order,111-1550156-4156227,3MM-2862(3),1,10.79
02-Jan-19,Order,112-7883012-9589827,3MM-2560(100),1,13.7
02-Jan-19,Order,114-8594619-5240231,3MM-2862(3),1,10.79
02-Jan-19,Order,113-8830702-2685834,3MM-2862(3),1,10.8
02-Jan-19,Order,113-1791899-6296259,3MM-1626W(10),1,6.5
02-Jan-19,Order,113-2622570-6257045,3MM-2862(3),1,10.79
02-Jan-19,Order,111-8248821-6372249,MOL-1434,1,27.98
02-Jan-19,Order,111-3620246-8024267,3MM-1626W(10),2,13
02-Jan-19,Order,111-1811113-1995410,MOL-1451,1,20.01
02-Jan-19,Order,111-7113967-5790605,3MM-2862(2),1,9.79
02-Jan-19,Order,111-7113967-5790605,3MM-2862(2),2,19.58
02-Jan-19,Order,111-5953116-2932224,3MM-1527-2,1,12.61
02-Jan-19,Order,113-0897023-7929822,MOL-1443-1,1,20.14
02-Jan-19,Order,114-6743494-4402614,3MM-R1546(50),1,26.94
02-Jan-19,Order,113-1144522-9022653,SOT-140172,1,37.73
02-Jan-19,Order,112-4755980-3184246,MDL-NON80328,1,7.7
02-Jan-19,Order,111-7780884-7005066,MOL-281000,2,28
02-Jan-19,Order,111-7780884-7005066,MOL-281000,2,28
02-Jan-19,Order,114-4573716-8078614,3M-2113,1,79
02-Jan-19,Order,113-6364767-7448258,3MM-1626W(10),1,6.5
02-Jan-19,Order,111-8952254-3329044,3M-2863(2),1,10.4
02-Jan-19,Order,111-9743862-2681021,3MM-2862(3),1,10.79
02-Jan-19,Order,111-9743862-2681021,3MM-1527-2,1,12.65
02-Jan-19,Order,114-8732796-7854650,3MM-2862(3),1,10.79
02-Jan-19,Order,113-1091896-4025029,3MM-2560(100),1,13.7
02-Jan-19,Order,113-5643809-2082609,3MM-2862(3),2,21.58
02-Jan-19,Order,112-3165860-8822662,3MM-R1546(50),1,26.5
02-Jan-19,Order,113-4409658-8126651,CON-187660,1,12.9
02-Jan-19,Order,114-6188719-1902626,3M-2863(2),1,10.4
02-Jan-19,Order,111-4567775-7409021,3M-2113,1,79
02-Jan-19,Order,114-6429428-6410659,3M-1539,1,16.84
02-Jan-19,Order,111-8204930-4889055,3MM-1527-2,1,12.61
02-Jan-19,Order,111-6236485-1109815,3MM-1626W,1,17.95
02-Jan-19,Order,113-6113255-3344228,3MM-1626W,1,17.95
03-Jan-19,Order,112-8477705-8425849,3MM-1626W(10),1,6.5
03-Jan-19,Order,114-4358958-9757016,3MM-2560(100),1,13.7
03-Jan-19,Order,112-7888893-9813010,3MM-1626W(10),1,6.5
03-Jan-19,Order,113-0571529-6214642,3MM-B1557,1,44.49
03-Jan-19,Order,112-2944942-5030619,MDL-NON80328,1,8.03
03-Jan-19,Order,112-3304244-1867420,MOL-281000,1,14.69
03-Jan-19,Order,111-5352751-1014621,3MM-2862(3),1,10.79
03-Jan-19,Order,112-2269200-3509830,3MM-2862(3),1,10.79
